SSC_NAME16	FamilyComposition	families_with_children
Big Hill (NSW)	Intact family with no other children present	3
Big Jacks Creek	Intact family with no other children present	5
Big Springs	Blended family with no other children present	3
Big Springs	Intact family with no other children present	6
Bigga	Intact family with no other children present	14
Bilambil	Blended family with no other children present	3
Bilambil	Intact family with no other children present	40
Bilambil	Intact family with other children present	3
Bilambil	Step family with no other children present	6
Bilambil Heights	Blended family with no other children present	21
Bilambil Heights	Intact family with no other children present	320
Bilambil Heights	Intact family with other children present	3
Bilambil Heights	Other couple family with other children only	3
Bilambil Heights	Step family with no other children present	36
Bilbul	Blended family with no other children present	4
Bilbul	Intact family with no other children present	64
Bilgola Beach	Intact family with no other children present	32
Bilgola Plateau	Blended family with no other children present	22
Bilgola Plateau	Intact family with no other children present	500
Bilgola Plateau	Intact family with other children present	8
Bilgola Plateau	Step family with no other children present	34
Billeroy	Intact family with no other children present	5
Billimari	Intact family with no other children present	15
Billinudgel	Intact family with no other children present	20
Billys Creek	Intact family with no other children present	6
Billys Creek	Step family with no other children present	3
