SSC_NAME16	NonSchoolQualification	persons
Ellerslie (Vic.)	Advanced Diploma and Diploma	8
Ellerslie (Vic.)	Bachelor	7
Ellerslie (Vic.)	Graduate Diploma and Graduate Certificate	3
Elliminyt	Certificate nfd	43
Elliminyt	Certificate I and II Level	25
Elliminyt	Certificate III and IV Level	502
Elliminyt	Advanced Diploma and Diploma	199
Elliminyt	Bachelor	203
Elliminyt	Graduate Diploma and Graduate Certificate	40
Elliminyt	Postgraduate	38
Ellinbank	Certificate nfd	3
Ellinbank	Certificate III and IV Level	40
Ellinbank	Advanced Diploma and Diploma	30
Ellinbank	Bachelor	24
Ellinbank	Postgraduate	7
Elmhurst	Certificate III and IV Level	28
Elmhurst	Advanced Diploma and Diploma	16
Elmhurst	Bachelor	13
Elmhurst	Graduate Diploma and Graduate Certificate	4
Elmore	Certificate nfd	10
Elmore	Certificate I and II Level	11
Elmore	Certificate III and IV Level	111
Elmore	Advanced Diploma and Diploma	41
Elmore	Bachelor	46
Elmore	Graduate Diploma and Graduate Certificate	8
Elmore	Postgraduate	8
Elphinstone (Vic.)	Certificate nfd	7
Elphinstone (Vic.)	Certificate I and II Level	7
Elphinstone (Vic.)	Certificate III and IV Level	101
Elphinstone (Vic.)	Advanced Diploma and Diploma	45
Elphinstone (Vic.)	Bachelor	57
Elphinstone (Vic.)	Graduate Diploma and Graduate Certificate	25
Elphinstone (Vic.)	Postgraduate	17
Elsternwick	Certificate nfd	131
Elsternwick	Certificate I and II Level	44
Elsternwick	Certificate III and IV Level	608
Elsternwick	Advanced Diploma and Diploma	744
Elsternwick	Bachelor	2573
Elsternwick	Graduate Diploma and Graduate Certificate	424
Elsternwick	Postgraduate	863
Eltham (Vic.)	Certificate nfd	277
Eltham (Vic.)	Certificate I and II Level	99
Eltham (Vic.)	Certificate III and IV Level	2029
Eltham (Vic.)	Advanced Diploma and Diploma	1586
Eltham (Vic.)	Bachelor	3188
Eltham (Vic.)	Graduate Diploma and Graduate Certificate	664
Eltham (Vic.)	Postgraduate	1068
Eltham North	Certificate nfd	108
Eltham North	Certificate I and II Level	42
Eltham North	Certificate III and IV Level	808
Eltham North	Advanced Diploma and Diploma	622
Eltham North	Bachelor	1136
Eltham North	Graduate Diploma and Graduate Certificate	245
Eltham North	Postgraduate	306
Elwood	Certificate nfd	172
Elwood	Certificate I and II Level	91
Elwood	Certificate III and IV Level	1197
Elwood	Advanced Diploma and Diploma	1362
Elwood	Bachelor	4110
Elwood	Graduate Diploma and Graduate Certificate	613
Elwood	Postgraduate	1421
Emerald (Vic.)	Certificate nfd	75
Emerald (Vic.)	Certificate I and II Level	37
Emerald (Vic.)	Certificate III and IV Level	956
Emerald (Vic.)	Advanced Diploma and Diploma	545
Emerald (Vic.)	Bachelor	650
Emerald (Vic.)	Graduate Diploma and Graduate Certificate	128
Emerald (Vic.)	Postgraduate	135
Emu	Certificate III and IV Level	8
Emu Creek (Vic.)	Certificate nfd	10
Emu Creek (Vic.)	Certificate I and II Level	6
Emu Creek (Vic.)	Certificate III and IV Level	65
Emu Creek (Vic.)	Advanced Diploma and Diploma	19
Emu Creek (Vic.)	Bachelor	57
Emu Creek (Vic.)	Graduate Diploma and Graduate Certificate	8
Emu Creek (Vic.)	Postgraduate	11
Endeavour Hills	Certificate nfd	335
Endeavour Hills	Certificate I and II Level	181
Endeavour Hills	Certificate III and IV Level	2933
Endeavour Hills	Advanced Diploma and Diploma	2101
Endeavour Hills	Bachelor	2777
Endeavour Hills	Graduate Diploma and Graduate Certificate	276
Endeavour Hills	Postgraduate	758
Enfield (Vic.)	Certificate nfd	3
Enfield (Vic.)	Certificate I and II Level	4
Enfield (Vic.)	Certificate III and IV Level	109
Enfield (Vic.)	Advanced Diploma and Diploma	40
Enfield (Vic.)	Bachelor	33
Enfield (Vic.)	Graduate Diploma and Graduate Certificate	12
Enfield (Vic.)	Postgraduate	11
Englefield	Certificate III and IV Level	3
Englefield	Advanced Diploma and Diploma	6
Ensay	Certificate nfd	4
Ensay	Certificate I and II Level	3
Ensay	Certificate III and IV Level	25
Ensay	Advanced Diploma and Diploma	7
Ensay	Bachelor	11
Ensay North	Certificate III and IV Level	3
Ensay North	Advanced Diploma and Diploma	4
Eppalock	Certificate nfd	11
Eppalock	Certificate I and II Level	4
Eppalock	Certificate III and IV Level	116
Eppalock	Advanced Diploma and Diploma	56
Eppalock	Bachelor	61
Eppalock	Graduate Diploma and Graduate Certificate	17
Eppalock	Postgraduate	13
Epping (Vic.)	Certificate nfd	435
Epping (Vic.)	Certificate I and II Level	274
Epping (Vic.)	Certificate III and IV Level	3581
Epping (Vic.)	Advanced Diploma and Diploma	2429
Epping (Vic.)	Bachelor	3143
Epping (Vic.)	Graduate Diploma and Graduate Certificate	335
Epping (Vic.)	Postgraduate	1082
Epsom (Vic.)	Certificate nfd	55
Epsom (Vic.)	Certificate I and II Level	45
Epsom (Vic.)	Certificate III and IV Level	752
Epsom (Vic.)	Advanced Diploma and Diploma	261
Epsom (Vic.)	Bachelor	382
Epsom (Vic.)	Graduate Diploma and Graduate Certificate	64
Epsom (Vic.)	Postgraduate	67
Ercildoune	Certificate nfd	3
Ercildoune	Certificate III and IV Level	13
Ercildoune	Advanced Diploma and Diploma	3
Ercildoune	Bachelor	4
Ercildoune	Graduate Diploma and Graduate Certificate	6
Erica	Certificate nfd	3
Erica	Certificate III and IV Level	45
Erica	Advanced Diploma and Diploma	11
Erica	Bachelor	7
Erica	Graduate Diploma and Graduate Certificate	8
Erica	Postgraduate	3
Eskdale (Vic.)	Certificate nfd	5
Eskdale (Vic.)	Certificate III and IV Level	44
Eskdale (Vic.)	Advanced Diploma and Diploma	16
Eskdale (Vic.)	Bachelor	6
Eskdale (Vic.)	Graduate Diploma and Graduate Certificate	5
Eskdale (Vic.)	Postgraduate	5
Essendon	Certificate nfd	233
Essendon	Certificate I and II Level	109
Essendon	Certificate III and IV Level	1717
Essendon	Advanced Diploma and Diploma	1679
Essendon	Bachelor	4233
Essendon	Graduate Diploma and Graduate Certificate	650
Essendon	Postgraduate	1390
Essendon North	Certificate nfd	37
Essendon North	Certificate I and II Level	16
Essendon North	Certificate III and IV Level	295
Essendon North	Advanced Diploma and Diploma	239
Essendon North	Bachelor	513
Essendon North	Graduate Diploma and Graduate Certificate	81
Essendon North	Postgraduate	185
Essendon West	Certificate nfd	23
Essendon West	Certificate I and II Level	6
Essendon West	Certificate III and IV Level	162
Essendon West	Advanced Diploma and Diploma	114
Essendon West	Bachelor	216
Essendon West	Graduate Diploma and Graduate Certificate	34
Essendon West	Postgraduate	71
Eumemmerring	Certificate nfd	41
Eumemmerring	Certificate I and II Level	18
Eumemmerring	Certificate III and IV Level	213
Eumemmerring	Advanced Diploma and Diploma	147
Eumemmerring	Bachelor	119
Eumemmerring	Graduate Diploma and Graduate Certificate	5
Eumemmerring	Postgraduate	34
Eurack	Certificate III and IV Level	8
Eurack	Advanced Diploma and Diploma	5
Eurack	Bachelor	7
Eureka (Vic.)	Certificate nfd	6
Eureka (Vic.)	Certificate I and II Level	3
Eureka (Vic.)	Certificate III and IV Level	84
Eureka (Vic.)	Advanced Diploma and Diploma	26
Eureka (Vic.)	Bachelor	64
Eureka (Vic.)	Graduate Diploma and Graduate Certificate	8
Eureka (Vic.)	Postgraduate	9
Euroa	Certificate nfd	42
Euroa	Certificate I and II Level	23
Euroa	Certificate III and IV Level	490
Euroa	Advanced Diploma and Diploma	216
Euroa	Bachelor	225
Euroa	Graduate Diploma and Graduate Certificate	54
Euroa	Postgraduate	38
Eurobin	Certificate nfd	6
Eurobin	Certificate III and IV Level	30
Eurobin	Advanced Diploma and Diploma	20
Eurobin	Bachelor	19
Eurobin	Graduate Diploma and Graduate Certificate	3
Eurobin	Postgraduate	4
Evansford	Certificate III and IV Level	23
Evansford	Advanced Diploma and Diploma	3
Evansford	Bachelor	5
Eversley	Certificate III and IV Level	3
Eversley	Bachelor	3
Everton	Certificate nfd	3
Everton	Certificate I and II Level	3
Everton	Certificate III and IV Level	38
Everton	Advanced Diploma and Diploma	14
Everton	Bachelor	18
Everton	Graduate Diploma and Graduate Certificate	3
Everton	Postgraduate	4
Everton Upper	Certificate I and II Level	3
Everton Upper	Certificate III and IV Level	29
Everton Upper	Advanced Diploma and Diploma	16
Everton Upper	Bachelor	15
Everton Upper	Graduate Diploma and Graduate Certificate	3
Everton Upper	Postgraduate	12
Exford	Certificate nfd	4
Exford	Certificate III and IV Level	19
Exford	Advanced Diploma and Diploma	9
Exford	Bachelor	11
Eynesbury	Certificate nfd	50
Eynesbury	Certificate I and II Level	19
Eynesbury	Certificate III and IV Level	409
Eynesbury	Advanced Diploma and Diploma	216
Eynesbury	Bachelor	287
Eynesbury	Graduate Diploma and Graduate Certificate	69
Eynesbury	Postgraduate	63
Fairbank	Certificate III and IV Level	8
Fairbank	Bachelor	3
Fairfield (Vic.)	Certificate nfd	68
Fairfield (Vic.)	Certificate I and II Level	29
Fairfield (Vic.)	Certificate III and IV Level	462
Fairfield (Vic.)	Advanced Diploma and Diploma	465
Fairfield (Vic.)	Bachelor	1504
Fairfield (Vic.)	Graduate Diploma and Graduate Certificate	289
Fairfield (Vic.)	Postgraduate	605
Fairhaven	Certificate nfd	7
Fairhaven	Certificate I and II Level	3
Fairhaven	Certificate III and IV Level	36
Fairhaven	Advanced Diploma and Diploma	31
Fairhaven	Bachelor	60
Fairhaven	Graduate Diploma and Graduate Certificate	10
Fairhaven	Postgraduate	16
Fairley	Certificate III and IV Level	3
Fairy Dell (Campaspe - Vic.)	Certificate III and IV Level	25
Fairy Dell (Campaspe - Vic.)	Advanced Diploma and Diploma	3
Fairy Dell (Campaspe - Vic.)	Bachelor	5
Falls Creek (Vic.)	Certificate nfd	3
Falls Creek (Vic.)	Certificate I and II Level	3
Falls Creek (Vic.)	Certificate III and IV Level	42
Falls Creek (Vic.)	Advanced Diploma and Diploma	23
Falls Creek (Vic.)	Bachelor	38
Falls Creek (Vic.)	Graduate Diploma and Graduate Certificate	3
Falls Creek (Vic.)	Postgraduate	12
Faraday	Certificate nfd	3
Faraday	Certificate III and IV Level	34
Faraday	Advanced Diploma and Diploma	10
Faraday	Bachelor	20
Faraday	Graduate Diploma and Graduate Certificate	6
Faraday	Postgraduate	5
Fawcett	Certificate nfd	3
Fawcett	Certificate III and IV Level	14
Fawcett	Advanced Diploma and Diploma	10
Fawkner	Certificate nfd	162
Fawkner	Certificate I and II Level	71
Fawkner	Certificate III and IV Level	1092
Fawkner	Advanced Diploma and Diploma	762
Fawkner	Bachelor	1441
Fawkner	Graduate Diploma and Graduate Certificate	155
Fawkner	Postgraduate	642
Fentons Creek	Certificate III and IV Level	4
Ferguson (Vic.)	Certificate nfd	3
Ferguson (Vic.)	Certificate III and IV Level	4
Ferguson (Vic.)	Bachelor	3
Ferguson (Vic.)	Postgraduate	4
Fern Hill	Certificate III and IV Level	12
Fern Hill	Advanced Diploma and Diploma	9
Fern Hill	Bachelor	8
Fern Hill	Postgraduate	7
Fernbank	Certificate nfd	4
Fernbank	Certificate I and II Level	4
Fernbank	Certificate III and IV Level	23
Fernbank	Advanced Diploma and Diploma	12
Fernbank	Bachelor	9
Fernbank	Graduate Diploma and Graduate Certificate	4
Ferndale (Vic.)	Certificate I and II Level	3
Ferndale (Vic.)	Certificate III and IV Level	5
Ferndale (Vic.)	Advanced Diploma and Diploma	8
Ferndale (Vic.)	Bachelor	3
Ferntree Gully	Certificate nfd	409
Ferntree Gully	Certificate I and II Level	238
Ferntree Gully	Certificate III and IV Level	4308
Ferntree Gully	Advanced Diploma and Diploma	2217
Ferntree Gully	Bachelor	2882
Ferntree Gully	Graduate Diploma and Graduate Certificate	442
Ferntree Gully	Postgraduate	739
Ferny Creek	Certificate nfd	24
Ferny Creek	Certificate I and II Level	17
Ferny Creek	Certificate III and IV Level	175
Ferny Creek	Advanced Diploma and Diploma	158
Ferny Creek	Bachelor	275
Ferny Creek	Graduate Diploma and Graduate Certificate	46
Ferny Creek	Postgraduate	78
Fingal (Vic.)	Certificate nfd	7
Fingal (Vic.)	Certificate I and II Level	7
Fingal (Vic.)	Certificate III and IV Level	87
Fingal (Vic.)	Advanced Diploma and Diploma	46
Fingal (Vic.)	Bachelor	61
Fingal (Vic.)	Graduate Diploma and Graduate Certificate	7
Fingal (Vic.)	Postgraduate	16
Fish Creek	Certificate nfd	18
Fish Creek	Certificate I and II Level	6
Fish Creek	Certificate III and IV Level	108
Fish Creek	Advanced Diploma and Diploma	62
Fish Creek	Bachelor	72
Fish Creek	Graduate Diploma and Graduate Certificate	19
Fish Creek	Postgraduate	28
Fish Point	Advanced Diploma and Diploma	3
Fiskville	Certificate III and IV Level	3
Fiskville	Bachelor	5
Fitzroy (Vic.)	Certificate nfd	100
Fitzroy (Vic.)	Certificate I and II Level	57
Fitzroy (Vic.)	Certificate III and IV Level	532
Fitzroy (Vic.)	Advanced Diploma and Diploma	637
Fitzroy (Vic.)	Bachelor	2616
Fitzroy (Vic.)	Graduate Diploma and Graduate Certificate	336
Fitzroy (Vic.)	Postgraduate	1224
Fitzroy North	Certificate nfd	100
Fitzroy North	Certificate I and II Level	44
Fitzroy North	Certificate III and IV Level	593
Fitzroy North	Advanced Diploma and Diploma	737
Fitzroy North	Bachelor	3453
Fitzroy North	Graduate Diploma and Graduate Certificate	588
Fitzroy North	Postgraduate	1600
Flaggy Creek	Certificate III and IV Level	22
Flaggy Creek	Advanced Diploma and Diploma	8
Flagstaff	Certificate III and IV Level	19
Flagstaff	Advanced Diploma and Diploma	7
Flagstaff	Bachelor	3
Flemington	Certificate nfd	85
Flemington	Certificate I and II Level	47
Flemington	Certificate III and IV Level	457
Flemington	Advanced Diploma and Diploma	444
Flemington	Bachelor	1435
Flemington	Graduate Diploma and Graduate Certificate	243
Flemington	Postgraduate	571
Flinders (Vic.)	Certificate nfd	17
Flinders (Vic.)	Certificate I and II Level	11
Flinders (Vic.)	Certificate III and IV Level	82
Flinders (Vic.)	Advanced Diploma and Diploma	108
Flinders (Vic.)	Bachelor	169
Flinders (Vic.)	Graduate Diploma and Graduate Certificate	23
Flinders (Vic.)	Postgraduate	59
Flora Hill	Certificate nfd	37
Flora Hill	Certificate I and II Level	47
Flora Hill	Certificate III and IV Level	530
Flora Hill	Advanced Diploma and Diploma	254
Flora Hill	Bachelor	452
Flora Hill	Graduate Diploma and Graduate Certificate	91
Flora Hill	Postgraduate	101
Flowerdale (Vic.)	Certificate nfd	14
Flowerdale (Vic.)	Certificate I and II Level	3
Flowerdale (Vic.)	Certificate III and IV Level	128
Flowerdale (Vic.)	Advanced Diploma and Diploma	43
Flowerdale (Vic.)	Bachelor	41
Flowerdale (Vic.)	Graduate Diploma and Graduate Certificate	5
Flowerdale (Vic.)	Postgraduate	6
Flynn (Vic.)	Certificate I and II Level	3
Flynn (Vic.)	Certificate III and IV Level	43
Flynn (Vic.)	Advanced Diploma and Diploma	11
Flynn (Vic.)	Bachelor	7
Flynn (Vic.)	Graduate Diploma and Graduate Certificate	5
Flynn (Vic.)	Postgraduate	3
Flynns Creek	Certificate III and IV Level	4
Footscray	Certificate nfd	161
Footscray	Certificate I and II Level	111
Footscray	Certificate III and IV Level	1066
Footscray	Advanced Diploma and Diploma	1233
Footscray	Bachelor	3377
Footscray	Graduate Diploma and Graduate Certificate	454
Footscray	Postgraduate	1418
Forbes (Vic.)	Certificate III and IV Level	28
Forbes (Vic.)	Advanced Diploma and Diploma	9
Forbes (Vic.)	Bachelor	14
Forest Hill (Vic.)	Certificate nfd	147
Forest Hill (Vic.)	Certificate I and II Level	57
Forest Hill (Vic.)	Certificate III and IV Level	886
Forest Hill (Vic.)	Advanced Diploma and Diploma	917
Forest Hill (Vic.)	Bachelor	1904
Forest Hill (Vic.)	Graduate Diploma and Graduate Certificate	255
Forest Hill (Vic.)	Postgraduate	712
Forge Creek	Certificate nfd	4
Forge Creek	Certificate III and IV Level	43
Forge Creek	Advanced Diploma and Diploma	24
Forge Creek	Bachelor	31
Forge Creek	Graduate Diploma and Graduate Certificate	15
Forge Creek	Postgraduate	8
Forrest (Vic.)	Certificate nfd	4
Forrest (Vic.)	Certificate III and IV Level	33
Forrest (Vic.)	Advanced Diploma and Diploma	24
Forrest (Vic.)	Bachelor	24
Forrest (Vic.)	Graduate Diploma and Graduate Certificate	6
Forrest (Vic.)	Postgraduate	14
Foster	Certificate nfd	30
Foster	Certificate I and II Level	12
Foster	Certificate III and IV Level	284
Foster	Advanced Diploma and Diploma	141
Foster	Bachelor	160
Foster	Graduate Diploma and Graduate Certificate	31
Foster	Postgraduate	42
Foster North	Certificate nfd	4
Foster North	Certificate III and IV Level	24
Foster North	Advanced Diploma and Diploma	17
Foster North	Bachelor	22
Foster North	Graduate Diploma and Graduate Certificate	3
Foster North	Postgraduate	11
Fosterville	Certificate III and IV Level	15
Fosterville	Advanced Diploma and Diploma	9
Fosterville	Bachelor	12
Foxhow	Certificate III and IV Level	3
Foxhow	Bachelor	7
Framlingham	Certificate I and II Level	3
Framlingham	Certificate III and IV Level	21
Framlingham	Advanced Diploma and Diploma	9
Framlingham	Bachelor	3
Framlingham	Postgraduate	3
Framlingham East	Certificate III and IV Level	7
Framlingham East	Advanced Diploma and Diploma	3
Franklinford	Certificate III and IV Level	4
Franklinford	Advanced Diploma and Diploma	4
Franklinford	Bachelor	6
Franklinford	Graduate Diploma and Graduate Certificate	3
Frankston	Certificate nfd	635
Frankston	Certificate I and II Level	364
Frankston	Certificate III and IV Level	5938
Frankston	Advanced Diploma and Diploma	3074
Frankston	Bachelor	3027
Frankston	Graduate Diploma and Graduate Certificate	568
Frankston	Postgraduate	661
Frankston North	Certificate nfd	90
Frankston North	Certificate I and II Level	68
Frankston North	Certificate III and IV Level	868
Frankston North	Advanced Diploma and Diploma	313
Frankston North	Bachelor	211
Frankston North	Graduate Diploma and Graduate Certificate	35
Frankston North	Postgraduate	52
Frankston South	Certificate nfd	292
Frankston South	Certificate I and II Level	140
Frankston South	Certificate III and IV Level	2452
Frankston South	Advanced Diploma and Diploma	1712
Frankston South	Bachelor	2336
Frankston South	Graduate Diploma and Graduate Certificate	426
Frankston South	Postgraduate	571
Freeburgh	Certificate nfd	3
Freeburgh	Certificate III and IV Level	25
Freeburgh	Advanced Diploma and Diploma	12
Freeburgh	Bachelor	6
Freeburgh	Graduate Diploma and Graduate Certificate	6
French Island	Certificate nfd	8
French Island	Certificate III and IV Level	13
French Island	Advanced Diploma and Diploma	6
French Island	Bachelor	17
French Island	Graduate Diploma and Graduate Certificate	3
French Island	Postgraduate	9
Frenchmans	Certificate III and IV Level	3
Freshwater Creek	Certificate nfd	4
Freshwater Creek	Certificate I and II Level	8
Freshwater Creek	Certificate III and IV Level	58
Freshwater Creek	Advanced Diploma and Diploma	39
Freshwater Creek	Bachelor	66
Freshwater Creek	Graduate Diploma and Graduate Certificate	11
