SSC_NAME16	labourForceParticipation
Deauville	68
Dee Why	71.2
Deep Creek (Clarence Valley - NSW)	100
Deep Creek (Kempsey - NSW)	35
Deep Creek (Kyogle - NSW)	54.5
Deepwater (NSW)	37.9
Deer Vale	50
Delegate	54.7
Delungra	53.6
Denham Court	48.4
Denhams Beach	34.6
Deniliquin	53.6
Denistone	62.3
Denistone East	62.1
Denistone West	63.6
Denman	57.5
Depot Beach	52.6
Derriwong	40
Deua River Valley	37.9
Devils Hole	68.8
Dewitt	46.2
Dharruk	54.3
Dhulura	59.3
Dhuragoon	72.7
Diamond Beach	54.4
Diehard	23.1
Diggers Camp	22.2
Dignams Creek	48.7
Dilkoon	40.5
Dilpurra	43.8
Dinoga	48.1
Dirnaseer	65.7
Dirty Creek	61.5
Dobies Bight	58.7
Doctor George Mountain	52
Doctors Gap	41.9
Dog Rocks	60
Dolans Bay	68.2
Dolls Point	65.6
Dollys Flat	81
Dolphin Point	42.4
Dombarton	76.1
Donald Creek	72.7
Dondingalong	50.7
Doon Doon	44
Doonbah	31.4
Doonside	55.5
Dooralong	50.5
Dora Creek	51.3
Dorrigo	42.7
Dorrigo Mountain	50
Dorroughby	56.2
Double Bay	63.9
Doubtful Creek	54.5
Douglas Park	63.3
Dover Heights	63.8
Downside	85.9
Doyalson	61.5
Doyalson North	16.8
Doyles Creek	54.1
Drake	29.9
Drildool	52.9
Dripstone	46
Drummoyne	65.4
Dry Creek (NSW)	57.6
Dry Plain	64.9
Dubbo	62.4
Duck Creek	41.7
Duckenfield	64.1
Duckmaloi	50
Dudley	62
Duffys Forest	65.7
Dulguigan	67.3
Dulwich Hill	68
Dum Dum	39.1
Dumaresq	88.1
Dumaresq Island	57.1
Dumaresq Valley	80
Dunbible	44.9
Dunbogan	40
Duncans Creek	52.4
Dundas (NSW)	60.3
Dundas Valley	61.3
Dundee	62.7
Dundurrabin	22.9
Dunedoo	44.7
Dungarubba	71.7
Dungay	62.2
Dungog	45.3
Dungowan	68.2
Dunkeld (NSW)	66.7
Dunmore (NSW)	60.8
Dunolly (NSW)	55.6
Dunoon	58.6
Duns Creek	64.6
Dunville Loop	50
Dural (Hornsby - NSW)	62.5
Duramana	67.8
Duranbah	59.5
Duri	64.6
Duroby	53.3
Durran Durra	60.8
