SSC_NAME16	labourForceParticipation
Canina	51.2
Cannindah	82.6
Canning Creek	100
Canningvale	61.3
Cannon Creek (Scenic Rim - Qld)	54.7
Cannon Creek (Southern Downs - Qld)	52.8
Cannon Hill	69
Cannon Valley	69.6
Cannonvale	65.8
Canoona	53
Canungra	62.2
Capalaba	67.5
Cape Cleveland	54.1
Cape Gloucester	48.2
Cape Hillsborough	41.7
Cape Tribulation	67.9
Capella	66.2
Captain Creek	51.1
Captains Mountain	56.7
Caravonica	69.9
Carbine Creek	64.7
Carbrook	57.4
Cardstone	100
Cardwell	41.4
Carina (Qld)	66.2
Carina Heights	69
Carindale	65.1
Carmila	57.2
Carmoo	47.5
Carnarvon Park	100
Carneys Creek	68.3
Carole Park	75
Caroline Crossing	61.5
Carpendale	76.5
Carpentaria	76.9
Carrara	63.1
Carrington (Qld)	64.3
Carruchan	55.4
Carseldine	61
Carstairs	74.8
Carters Ridge	57.8
Cashmere	75.8
Cassowary	75.8
Castaways Beach	62.7
Castle Creek (Qld)	80
Castle Hill (Qld)	70.3
Cattle Creek (North Burnett - Qld)	58.3
Cattle Creek (Toowoomba - Qld)	78.6
Causeway Lake	39.3
Cawarral	62.1
Cawdor (Qld)	75.5
Cecil Plains	60.2
Cedar Creek (Gold Coast - Qld)	62.7
Cedar Creek (Moreton Bay - Qld)	69.3
Cedar Grove	68.4
Cedar Pocket	53.7
Cedar Vale	67.4
Cedarton	56.3
Cement Mills	46.2
Centenary Heights	59.3
Ceratodus	33.3
Chahpingah	58.3
Chambers Flat	62.9
Chances Plain	79.5
Chandler (Qld)	63.9
Chapel Hill (Qld)	64.8
Charlestown (Qld)	63.8
Charleville	62.7
Charlton (Qld)	67.7
Charlwood	55.9
Charters Towers City	50.1
Chatsworth (Qld)	52.9
Cheeseborough	233.3
Chelmer	66.1
Chelmsford	59.2
Chelona	67.1
Cheltenham (Qld)	85.7
Cherbourg	32
Chermside	57.8
Chermside West	61.6
Cherry Creek	65.8
Cherry Gully	50
Cherwell	40
Chevallum	63
Chewko	55.8
Childers (Qld)	42.1
Chillagoe	45.3
Chinchilla	58.7
Chinghee Creek	68.4
Chirnside	85
Chorregon	53.7
Christmas Creek	57.4
Churchable	47
Churchill (Qld)	59.1
Chuwar	71.7
Cinnabar	74.5
Clagiraba	69.8
Clairview	33.8
Clara Creek	67.6
Claraville	100
Clare (Qld)	68.7
Clarendon (Qld)	57.8
Clarke Creek	100
Clayfield	69.3
Clear Island Waters	51.9
Clear Mountain	67.8
Clermont	62.5
Cleveland (Qld)	55.2
Clifford	59.1
Clifton (Qld)	42.1
Clifton Beach (Qld)	62.3
Clinton (Qld)	69.3
Clintonvale	58.3
Cloncurry	65.8
Clontarf (Moreton Bay - Qld)	57.1
Clontarf (Toowoomba - Qld)	100
Closeburn	64.1
Cloyna	49
Cluden	67.9
Clumber	48.4
Coal Creek	60.5
Coalbank	88.5
Coalfalls	61.1
Coalstoun Lakes	62.8
Cobbs Hill	35.7
Cobraball	66.7
Cockatoo (Qld)	71
Coconuts	50.8
Coen	64.4
Coes Creek	61
Coles Creek	65.7
Colevale	100
Coleyville	68.2
Colinton (Qld)	54
Collaroy (Qld)	122.2
College View	46.1
Collingwood Park (Qld)	67.6
Collinsville (Qld)	53.2
Colosseum	57.1
Columbia	69.3
Columboola	73.7
Comet	68.7
Commissioners Flat	104.8
Como (Qld)	40.9
Comoon Loop	46.2
Cona Creek	86.9
Condamine	69.2
Condamine Farms	63.6
Condamine Plains	76.2
Condon	55.2
Conondale	53.3
Consuelo	71.4
Conway	62
Conway Beach	44
Coochiemudlo Island	41.7
Coochin	66.7
Coochin Creek	57.1
Cooee Bay	59
Cooeeimbardi	60
Cooktown	52.3
Coolabine	52.5
Coolabunia	78.4
Cooladdi	109.1
Coolana	56.1
Coolangatta (Qld)	50.3
Coolbie	64.8
Coolmunda	59.5
Cooloola Cove	29.8
Cooloolabin	61.4
Coolum Beach	59.9
Coombabah	49.4
Coomera	71.4
Coominglah	116.7
Coominya	44.6
Coomoo	122.2
Coomrith	64.9
Coonambula	38.9
Coonarr	53.6
Coondoo	63.5
Coongoola	83.3
Coopers Plains	59
Coorada	100
Cooran	57.2
Cooranga	64.1
Cooroibah	59.3
Coorooman	58.1
Cooroy	52.2
Cooroy Mountain	52.1
Coorparoo	71.7
Coorumba	74.3
Coorumbene	80
Cootharaba	52.2
Coowonga	54.3
Cooya Beach	58
Cooyar	37.5
Coppabella (Qld)	49
Coquette Point	44.8
Coral Cove	53.4
Coral Sea	64
Coralie	100
Cordalba	45.9
Cordelia	50.6
Corella	58.2
Corfield	69.9
Corinda	64.1
Coringa	62.9
Corndale (Qld)	55.9
Cornish Creek	75
Cornubia	71.9
Cornwall (Qld)	116.7
Cosgrove (Qld)	72.2
Cotswold Hills	66.5
Cottonvale (Qld)	54
Coulson	64.5
Coverty	32.3
Cow Bay	46.6
Cowan Cowan	53.6
Cowley	59.4
Cowley Beach	23.3
Cowley Creek	53.3
Cracow	70.9
Craiglie	57.1
Craignish	55
Cranbrook (Qld)	56.9
Cranley	43.9
Crawford	71.9
Crediton	46.2
Cremorne (Qld)	53.3
Cressbrook	54.2
Cressbrook Creek	92.3
Crestmead	60.2
Crimea	57.1
Crinum	63.2
Croftby	50.9
Crohamhurst	56.7
Cromarty	52.4
Crossdale	36.2
Crossroads	50.5
Crowley Vale	51.4
Crownthorpe	46.2
Crows Nest (Qld)	40.4
Croydon (Qld)	51.2
Cryna	69.5
Crystal Brook (Qld)	63.6
Crystalbrook	80
Cullinane	58.7
Cungulla	50.8
Cunnamulla	55.7
Cunningham (Qld)	47.1
Curra	41.6
Currajah	80
Currajong	62.4
Curramore (Qld)	57.1
Currimundi	56.2
Currumbin	63.6
Currumbin Valley	61.8
Currumbin Waters	60.9
Curtis Island	79.6
Cushnie	56.4
Cutella	65.2
Cuttaburra	100
Cynthia	48
Cypress Gardens	17.6
D'Aguilar	59.7
Dagun	59.7
Daintree	62.8
Daisy Hill (Qld)	67.3
Dajarra	56.9
Dakabin	71.1
Dakenba	83.3
Dalbeg	77.3
Dalby	63.2
Dalcouth	47.7
Dalga	100
Dallarnil	42.3
Dalma	83.9
Dalrymple Creek	70.9
Dalrymple Heights	54.8
Dalveen	52.4
Dalwogon	52
Dalysford	45.7
Damascus	48.8
Damper Creek	57.1
Danbulla	51.2
Danderoo	62.5
Dangore	50
Daradgee	37.9
Dargal Road	76.9
Darling Heights	59.9
Darlington (Qld)	67.7
Darr Creek	45.5
Darra	57.2
Darts Creek	44.5
Dauan Island	40
Daveson	57.1
Dayboro	66.4
Daymar	91.3
Deagon	61.1
Deception Bay	53.8
Deebing Heights	76.3
Deep Creek (Qld)	100
Deepwater (Qld)	28.3
Deeragun	64.1
Deeral	50.4
Degarra	28.6
Degilbo	44.4
Delan	40.7
Delaneys Creek	62.6
Depot Hill	52
Derri Derra	70
Derrymore	59.7
Deuchar	59.6
Devereux Creek	68.8
Devon Park (Qld)	77.4
Diamantina Lakes	105.9
Diamond Valley	57.2
Diamondvale	82.1
Diamondy	61
Dicky Beach	47.8
Didcot	59.2
Diddillibah	54.7
Diglum	66.7
Dimbulah	56.6
Dingo	60.2
Dingo Beach	40.4
Dingo Pocket	76.9
Dinmore	44.9
Dirnbir	82.5
Dirranbandi	61.8
Dittmer	51.8
Diwan	59.6
Dixalea	78.1
Dixie (Qld)	100
Djarawong	66.2
Djuan	64.9
Doctor Creek	67.9
Dolphin Heads	68
Donnybrook (Qld)	42.3
Doolandella	66.6
Doolbi	34.6
Doomadgee	39.9
Doonan	61.1
Doongul	18.5
Dotswood	67.1
Doughboy	15
Douglas (Toowoomba - Qld)	70.8
Douglas (Townsville - Qld)	66
Downsfield	32.1
Dows Creek	59.4
Draper	69.7
Drayton	60.7
Drewvale	69.3
Drillham	71.7
Drillham South	60.8
Drinan	46
Drummondslope	78.1
Duaringa	63.6
Duchess	77.3
Duckinwilla	50
Ducklo	47
Dugandan	55.2
Duingal	40
Dulacca	61
Dulong	57
Dululu	61.1
Dumbleton	63.5
Dumgree	65.2
Dumpy Creek	45.5
Dundarrah	100
Dundas (Qld)	67.7
Dundathu	57.5
Dundowran	51.9
Dundowran Beach	53.3
Dunk	81
Dunkeld (Qld)	65.7
Dunmora	61.1
Dunmore (Qld)	89.5
Dunnrock	51.6
Dunrobin (Qld)	85.7
Dunwich	54.7
Durack (Qld)	52.8
Durham	67.6
Durham Downs	49.1
Durong	38.9
Dutton Park	58.8
Dutton River	80.8
Dykehead	140
Dynevor	80
Dysart (Qld)	60.6
Eagleby	48.2
Earlville	54
East Barron	67.8
East Brisbane	70.7
East Cooyar	50
East Deep Creek	53.7
East End	56.5
East Feluga	70.4
East Greenmount	60.6
East Haldon	90
East Innisfail	55
East Ipswich	60.1
East Mackay	59.9
East Nanango	42.8
East Palmerston	70.2
East Russell	50.9
East Toowoomba	63.1
East Trinity	54.2
Eastern Heights	53.3
Eaton (Qld)	70.3
Eatons Hill	75.2
Ebbw Vale	49.5
Ebenezer (Qld)	56.3
Edens Landing	64.2
Edge Hill	68.3
Edmonton	64.4
Eerwah Vale	57.4
Egypt	26.7
Eidsvold	45.4
Eidsvold East	68.8
Eidsvold West	63
Eight Mile Plains	61.3
Eimeo	72.5
Einasleigh	58.9
El Arish	49.8
Elaman Creek	60.7
Elanora	60.3
Elbow Valley	70.3
Electra	68.2
Elgin (Qld)	67.9
Elgin Vale	30
Eli Waters	41.6
Elimbah	64.8
Ellangowan (Qld)	76.2
Ellen Grove	49.9
Ellerbeck	50.9
Ellesmere	40.7
Ellinjaa	65.4
Ellinthorp	50
Elliott (Qld)	56
Elliott Heads	48.4
Ellis Beach	29.4
Elphinstone (Toowoomba - Qld)	64.2
Emerald (Qld)	70.6
Emu Creek (Qld)	57.6
Emu Park	49.7
Emu Vale	55.3
England Creek	40.7
Enoggera	74.9
Enoggera Reservoir	68.8
Epsom (Qld)	54.5
Erakala	72
Ernestina	61.5
Eromanga	79.6
Erub Island	35.5
Esk (Qld)	38.2
Eskdale (Qld)	77.8
Esmeralda	78.6
Etna Creek	17.9
Eton	62.8
Etty Bay	63.4
Eubenangee	60.8
Eudlo	60.3
Eukey	51.7
Euleilah	33.8
Eulo	75.3
Eumamurrin	71.4
Eumundi	58.8
Eungella (Qld)	40.4
Eungella Dam	83.3
Eungella Hinterland	100
Euramo	69.2
Eureka (Qld)	50.7
Eurella	21.4
Eurimbula	100
Eurombah	76.8
Eurong	59.6
Euthulla	67.3
Evans Landing	71.2
Evanslea	92.3
Evelyn	42.9
Evergreen	56.3
Everton Hills	72.1
Everton Park	68.7
Fairdale	77.8
Fairfield (Qld)	70.1
Fairney View	57.2
Fairy Bower	67.1
Fairyland	67.9
Fairymead	73.1
Farleigh	66.3
Farnborough	57.3
Farnsfield	72.7
Fassifern (Qld)	52.6
Fassifern Valley	80.6
Federal (Qld)	61
Felton	70.1
Felton South	76.7
Feluga	74.3
Ferney	54.1
Fernvale (Qld)	59.9
Ferny Glen	46.6
Ferny Grove	66.5
Ferny Hills	68.6
Ficks Crossing	84.4
Fielding	100
Fifteen Mile	68.4
Fig Tree Pocket	66
Finch Hatton	53.1
Finlayvale	55.6
Finnie	53.3
Fishermans Pocket	59.3
Fishery Falls	61
Fitzgerald Creek	53
Fitzgibbon	69.4
Fitzroy Island	65.9
Flagstone Creek	65.2
Flametree	55.2
Flaxton	44.8
Fletcher (Qld)	51.2
Fleurbaix	40
Flinders View	66.4
Flinton	64
Flying Fish Point	47.6
Flying Fox (Qld)	82
Fordsdale	57.9
Foreshores	51.8
Forest Creek	51.7
Forest Glen (Qld)	59.6
Forest Hill (Qld)	58.1
Forest Lake	68.6
Forest Ridge	26.8
Forest Springs	72.7
Forestdale	68.8
Foresthome	77.1
Forestvale	84.6
Formartin	90.9
Forrest Beach (Qld)	47.5
Forsayth	47.7
Fortitude Valley	70.6
Forty Mile	54.5
Fossilbrook	100
Four Ways	100
Foxdale	68.5
Frankfield	85.7
Fraser Island	51.5
Frazerview	55.2
Fredericksfield	71.3
Freestone	63.9
Frenches Creek	56.5
Frenchville	64.4
Freshwater (Qld)	71.4
Freshwater Point	59.2
Friday Pocket	79.3
Fulham (Qld)	70.8
Gaeta	35.8
Gailes	51.3
Gainsford	81.3
Gairloch	65
Galilee	42.9
Gamboola	61.1
Garbutt	49.4
Garfield (Qld)	57.1
Gargett	62
Garnant	54.8
Garners Beach	37.5
Garradunga	72.6
Gatton	54.4
Gaven	67.9
Gayndah	52.6
Gaythorne	69.7
Geebung	67
Geham	59.1
Gemini Mountains	90.9
Georgetown (Qld)	68.5
Georgina (Qld)	100
Germantown (Qld)	60.4
Gheerulla	55.9
Ghinghinda	75
Gigoomgan	74.1
Gilbert River	64.7
Gilberton (Gold Coast - Qld)	45.5
Gilla	84
Gilldora	52.9
Gilston	70.6
Gin Gin (Qld)	37.5
Gindie	73.3
Ginoondan	100
Giru	59.8
Givelda	56.8
Gladfield (Qld)	78.7
Gladstone Central	57.8
Gladstone Harbour	17.4
Glamorgan Vale	51.6
Glan Devon	48.8
Glanmire (Qld)	15
Glass House Mountains	59.6
Glastonbury	56.5
Glebe (Qld)	85.7
Glen Allyn	54.5
Glen Aplin	51.5
Glen Boughton	13.6
Glen Cairn	61.7
Glen Echo	66.7
Glen Eden	69.9
Glen Esk	24.5
Glen Isla	64.3
Glen Niven	73.1
Glen Russell	81.8
Glenarbon	54.5
Glenaubyn	79.3
Glenaven	63
Glenbar	72.7
Glencoe (Qld)	61.6
Glendale (Qld)	69.3
Glenden	74.9
Gleneagle	61.2
Glenella	70.1
Glenfern (Qld)	30
Glengallan	52.2
Glenhaughton	116.7
Glenlee (Qld)	67.6
Glenleigh	57.1
Glenlyon (Qld)	70.4
Glenmoral	91.9
Glenmorgan	82.5
Glenorchy (Qld)	54.3
Glenore Grove	56.3
Glenrae	69.9
Glenrock (Qld)	54.1
Glenroy (Qld)	52.4
Glenvale	65.6
Glenview	66.7
Glenwood (Qld)	29.4
Godwin Beach	58.5
Gogango	74.2
Golden Beach (Qld)	44.8
Golden Fleece	37.5
Goldfields	35.7
Goldsborough (Qld)	72.9
Gooburrum	58.7
Good Night	36.6
Goodar	66.7
Goodger	56.5
Goodna	54.9
Goodwood (Qld)	48.9
Googa Creek	43.6
Goolboo	72.7
Goolman	75
Goomally	44.4
Goombi	64
Goomboorian	57
Goombungee	55.1
Goomburra	61.9
Goomeri	41.7
Goomeribong	57.9
Goondi	65
Goondi Bend	55.5
Goondi Hill	33.3
Goondiwindi	63.1
Goorganga Creek	88.9
Gooroolba	91.7
Gootchie	33.3
Goovigen	61.9
Goowarra	53.3
Goranba	33.3
Gordon Park	74.6
Gordonbrook	65.7
Gordonstone	100
Gordonvale	61.9
Gore	71
Gowrie Junction	71.4
Gowrie Little Plain	71.7
Gowrie Mountain	72.7
Gowrie Station	63.6
Gracemere	65.4
Graceville	70.4
Grahams Creek	48.5
Granadilla	66.2
Grand Secret	59.7
Grandchester	55.7
Grange (Qld)	74.7
Grant	100
Grantham	52.4
Granville (Qld)	41.7
Grapetree	73.9
Grasstree Beach	57.1
Grays Gate	69
Green Hill	69.1
Green Island	73.9
Greenbank	66.7
Greenlands (Qld)	47.8
Greenmount (Mackay - Qld)	70.5
Greenmount (Toowoomba - Qld)	62.8
Greens Creek (Qld)	59.2
Greenslopes	72.7
Greenswamp	69.4
Greenup	50
Greenvale (Qld)	44.9
Greenview	63
Greenwood (Qld)	55.6
Gregors Creek	65.2
Gregory (Qld)	47.5
Gregory River (Bundaberg - Qld)	58.3
Gregory River (Whitsunday - Qld)	54.2
Greycliffe	81.8
Greymare	63.8
Griffin	77.3
Groganville	114.3
Groomsville	58.1
Groper Creek	34.5
Grosmont	69.8
Grosvenor	46.7
Guanaba	63.4
Gulliver	58.4
Guluguba	66.7
Gumdale	73.3
Gumlow	68
Gumlu	61.4
Gunalda	39
Gundiah	39.2
Gungaloon	63.6
Gunnawarra	37.5
Gunnewin	72.9
Gunpowder	69.2
Gunyarra	66.7
Gurgeena	34.8
Gurulmundi	75
Guthalungra	59.8
Gwambegwine	100
Gympie	47.2
Habana	71.9
Haden	64.5
Haigslea	60.5
Hail Creek	68.6
Haliday Bay	48.6
Halifax	47.2
Haly Creek	64.2
Hamilton (Qld)	67.9
Hamilton Creek	50.6
Hamilton Plains	43.1
Hampden (Qld)	63.2
Hampton (Qld)	60.6
Hannaford	74.7
Happy Valley (Qld)	71.6
Harlaxton	53.3
Harlin	65
Harrami	77.4
Harriet	100
Harristown	51.9
Harrisville	67.4
Hatton Vale	63.4
Hawkins Creek	64.4
Hawkwood	57.7
Hawthorne	75.1
Hay Point	59.4
Hazeldean	48.7
Hazledean	77.8
Headington Hill	70.4
Healy	76.6
Heathwood	75.8
Heatley	53.8
Hebel	61.3
Helens Hill	63
Helensvale	62.8
Helidon	56.6
Helidon Spa	59.1
Hemmant	72
Hendon (Qld)	47.6
Hendra	69.6
Herberton	44.1
Heritage Park	69.7
Hermit Park	64.6
Herston	59.2
Hervey Range	60.6
Hibernia	56.8
Hidden Valley (Qld)	64.2
Hideaway Bay	45
Highfields (Qld)	62.3
Highgate Hill	66.4
Highgrove	84.2
Highland Park	62.5
Highland Plains (Maranoa - Qld)	75
Highland Plains (Toowoomba - Qld)	75
Highvale	69.1
Highworth	59.7
Hillcrest (Qld)	68.1
Hillview	64.4
Hirstglen	61.2
Hivesville	33.8
Hobartville (Qld)	82.9
Hodgleigh	45.5
Hodgson	77.3
Hodgson Vale	71.8
Holland Park	67.6
Holland Park West	68.9
Holloways Beach	62.2
Hollywell	59.5
Holmview	68.3
Home Creek	65.2
Home Hill	53.3
Homebush (Qld)	64.9
Homestead	35.7
Hookswood	76
Hope Island	55
Hope Vale	58.4
Hopeland (Qld)	71.7
Horn	54.5
Horse Camp	32.6
Horse Creek	33
Horseshoe Bay	57
Horseshoe Lagoon	63.2
Horton	43.3
Howard	31.3
Howitt	29.2
Hoya	52.1
Hudson	46.1
Hughenden	61.6
Hull Heads	37
Humboldt	80
Humeburn	57.1
Humphery	77.3
Hunchy	62.3
Hungerford (Qld)	47.8
Hurricane	35.3
Hutton Creek	100
Hyde Park (Qld)	67.1
Iama Island	29.7
Ibis	75
Idalia	78.7
Ideraway	62.1
Ilbilbie	43.3
Ilfracombe	76.2
Ilkley	65.8
Illinbah	60
Image Flat	58.4
Imbil	46.7
Inala	43.5
Indooroopilly	63
Ingberry	50
Ingham	49.8
Inglestone	71.7
Inglewood (Qld)	52.5
Ingoldsby	66
Injinoo	41.2
Injune	68.3
Inkerman (Qld)	61.3
Innes Park	59.5
Innisfail	47.5
Innisfail Estate	50.5
Innisplain	69.3
Innot Hot Springs	42.4
Inskip	11.6
Inverlaw	56.7
Inverness	49.7
Ipswich	47.5
Iredale	62.2
Iron Range	75
Ironbark (Qld)	36.2
Irongate	73.7
Ironpot (Livingstone - Qld)	68.2
Ironpot (South Burnett - Qld)	79.4
Irvinebank	33.6
Irvingdale	73.5
Isis Central	56.5
Isis River	34
Isisford	64.4
Isla	67.9
Island Plantation	62.3
Iveragh	59.3
Ivory Creek	43.9
Jackson	62.5
Jackson North	74.5
Jackson South	50
Jacobs Well	63
Jaffa	64.7
Jaggan	52.2
Jamboree Heights	69.4
Jandowae	43.8
Japoonvale	57.8
Jardine	68.2
Jarra Creek	68
Jarvisfield	68.9
Jellinbah	84
Jensen	69
Jericho (Qld)	40
Jerona	22.5
Jimboomba	68.6
Jimbour East	75
Jimbour West	75.6
Jimna	25.7
Jindalee (Qld)	68.4
Jinghi	73.3
Jobs Gate	133.3
Johnsons Hill	30
Johnstown	56.7
Jollys Lookout	57.1
Jondaryan	65
Jones Gully	88.9
Jones Hill	62.4
Josephville	64.5
Joskeleigh	39.2
Joyner	71.4
Jubilee Heights	70.1
Jubilee Pocket	67.5
Julago	64
Julatten	49.3
Julia Creek	71.5
Junabee	68.6
Junction View	28.9
Jundah	79.8
Kaban	65.2
Kabra	60.5
Kagaru	40
Kaimkillenbun	64.8
Kairi	59
Kalapa	44
Kalbar	55.7
Kalinga	67.1
Kalkadoon	69.2
Kalkie	59.7
Kallangur	63.6
Kalpowar	55.4
Kalunga	48.1
Kamerunga	64.5
Kandanga	53.7
Kandanga Creek	67.4
Kangaroo Point (Qld)	68.4
Kanigan	40
Kanimbla (Qld)	71.5
Kapaldo	51.3
Karalee	72.1
Karana Downs	71.3
Karara	42.3
Karawatha	22.2
Karrabin	64.6
Karragarra Island	38.3
Karumba	56.6
Kawana	57
Kawl Kawl	47.1
Kawungan	46.3
Kearneys Spring	54.8
Kedron	72
Kelsey Creek	61.2
Kelso (Qld)	61.9
Kelvin Grove	58.2
Kelvinhaugh	61.3
Kemmis	200
Kenilworth	55.1
Kenmore	66.1
Kenmore Hills	58.5
Kennedy	59.5
Kensington (Qld)	47.4
Kensington Grove	61.9
Kents Lagoon	74.4
Kents Pocket	58.3
Kentville	59.1
Keperra	58.6
Kepnock	50.1
Keppel Sands	42.9
Keriri Island	50.3
Kerry	66
Kewarra Beach	66.1
Keysland	41.7
Kholo	67.8
Khosh Bulduk	68.3
Kia Ora (Qld)	45.7
Kiamba	59.7
Kianga (Qld)	68.9
Kidaman Creek	54.9
Kiels Mountain	64
Kilbirnie	67.3
Kilcoy	53.8
Kilcummin	79.8
Kilkivan	40.7
Killaloe	57.4
Killarney (Qld)	47.6
Kimberley (Qld)	43.8
Kin Kin	48.5
Kin Kora	68.9
Kinbombi	64
Kinchant Dam	57.9
Kincora	79.1
Kindon	42.1
King Scrub	64.7
Kingaham	53.8
Kingaroy	56.2
Kings Beach	53.4
Kings Creek	65
Kings Siding	84.6
Kingsholme	67.1
Kingsthorpe	63
Kingston (Qld)	49.7
Kinka Beach	40.6
Kinkuna	69.4
Kinleymore	56.9
Kinnoul	80.4
Kioma	84.2
Kippa-Ring	55
Kirknie	67.3
Kirkwood	75.8
Kirrama	37.5
Kirwan	65.9
Kitoba	50
Kleinton	73.2
Knapp Creek	52.1
Koah	61.5
Kobble Creek	69.7
Kogan	36.8
Kokotungo	83.5
Kolonga	43.2
Koongal	60.5
Kooralbyn	46.1
Kooralgin	88.1
Kooringal (Qld)	24.4
Kooroongarra	71.4
Koumala	64.6
Kowanyama	52.3
Kowguran	66.7
Kragra	105
Kulangoor	54.3
Kulgun	64.2
Kullogum	32.6
Kulpi	76.5
Kuluin	62
Kumbarilla	40.2
Kumbia	50.8
Kunda Park	92.3
Kunioon	76
Kunwarara	65.1
Kuraby	63.9
Kuranda	52.4
Kureelpa	58.3
Kureen	68
Kuridala	30
Kurrimine Beach	47.9
Kurrowah	40
Kurumbul	82.4
Kurwongbah	64.5
Kuttabul	67.8
Kybong	42.8
Kynuna	84.6
Kyoomba	53.6
Labrador	54.5
Laceys Creek	67.7
Laglan	100
Lagoon Pocket	54.1
Laguna Quays	35.5
Laidley	43
Laidley Creek West	64.8
Laidley Heights	49.9
Laidley North	59.2
Laidley South	65.9
Lake Barrine	46.8
Lake Clarendon	59.8
Lake Eacham	59.8
Lake Macdonald	56.4
Lake Manchester	42.1
Lake Mary	67.1
Lake Monduran	100
Lake Proserpine	100
Lake Wivenhoe	100
Lakefield	78.6
Lakeland	61.8
Lakes Creek	68.8
Lakeside	50.9
Lamb Island	28
Lamington (Qld)	71.4
Lammermoor	65.4
Landers Shoot	63
Landsborough (Qld)	59.8
Lanefield	59.3
Langlands	42.9
Langlo	60.5
Langshaw	56.9
Lannercost	61.5
Lansdowne (Qld)	111.1
Lanskey	66.7
Laravale	65.6
Lark Hill	65.9
Laura (Qld)	41.1
Lavelle	44.4
Lawes	28.5
Lawgi Dawes	76.1
Lawn Hill	47.1
Lawnton	61
Leafdale	50
Lefthand Branch	46.6
Leichhardt (Qld)	47.3
Lemontree	69.2
Leslie	142.9
Leslie Dam	52.5
Lethebrook	56.5
Leyburn	42.4
Lilydale (Qld)	71.2
Lilyvale (Central Highlands - Qld)	76.9
Lilyvale (Toowoomba - Qld)	52.6
Limestone Creek	63.3
Limestone Ridges	68.5
Limevale	51
Linden (Qld)	120
Linthorpe	71
Linville	41.5
Little Mountain	58.9
Little Mulgrave	69
Lizard	77.6
Llanarth (Qld)	64.5
Loch Lomond	57.3
Lochington	61.4
Lockhart River	45.8
Lockrose	47.9
Lockyer (Qld)	66.2
Lockyer Waters	44.5
Logan Central	43.7
Logan Reserve	67.6
Logan Village	63.1
Loganholme	69.4
Loganlea	56
Lonesome Creek	84.4
Long Flat (Qld)	61
Long Pocket	68.1
Longreach (Qld)	67.3
Lota	64.9
Lotus Creek	80
Lower Beechmont	65.7
Lower Cowley	71.1
Lower Cressbrook	33.3
Lower Daintree	58.3
Lower Mount Walker	68.7
Lower Tenthill	57.7
Lower Tully	69.8
Lower Wonga	52.6
Lowesby	57.1
Lowestoff	80.6
Lowmead	45.1
Lowood	47.9
Lucinda	33.9
Lumeah (Qld)	100
Lundavra	74
Luscombe	68.2
Lutwyche	74.7
Lynam	71.4
Lyndhurst (Qld)	85.7
Lyons (Qld)	63
Lyra	59.5
Lytton	50
Ma Ma Creek	55.1
Maadi	42.9
Maalan	59.3
Maaroom	28.6
Mabuiag Island	39.3
Macalister	62.3
Macfarlane	78.6
Macgregor (Qld)	53.4
Machans Beach	50.8
Machine Creek	54.8
Mackay	56.9
Mackay Harbour	61.2
Mackenzie (Brisbane - Qld)	74
Mackenzie (Central Highlands - Qld)	85.2
Mackenzie River	67.9
Macknade	61.8
Maclagan	64.7
Macleay Island	31.1
Magnolia	52.9
Maidenhead	144.4
Maidenwell	46.1
Main Beach	54.7
Majors Creek (Qld)	62.3
Malanda	48.6
Malarga	91.7
Maleny	44.7
Malling	57.1
Malmoe	46.4
Malpas-Trenton	100
Malu	73.7
Manapouri	79.1
Mandalay	63.8
Maneroo	75.8
Mango Hill	74.5
Manly (Qld)	65.3
Manly West	64.6
Mannuem	64.5
Manoora (Qld)	52.6
Mansfield (Qld)	62.5
Mantuan Downs	92
Manumbar	61.4
Manunda	51.9
Manyung	44.2
Mapleton	43.4
Mapoon	50.2
Maramie	100
Marburg	60.8
Marcoola	64.3
Marcus Beach	63.9
Mareeba	53
Margate (Qld)	56
Maria Creeks	56.7
Marian	69.4
Marlborough	70.6
Marmadua	100
Marmor	52.9
Maroochy River	66.1
Maroochydore	54.3
Maroon	64.5
Maroondan	38.5
Marsden	57.9
Marshlands	75
Martyville	58.5
Maryborough (Qld)	42.3
Maryborough West	47.5
Marys Creek	65
Maryvale (Livingstone - Qld)	66.7
Maryvale (Southern Downs - Qld)	40.5
Masig Island	41.9
Massie	78.8
Maudsland	74.1
Maxwelton	60
May Downs	88.1
McCutcheon	52.2
McDesme	69
McDowall	70.3
McEwens Beach	58.7
McIlwraith	47.2
McIntosh Creek	76.1
McKinlay	83.2
Meadowbrook	62.2
Meadowvale	53.5
Meandarra	62.7
Meikleville Hill	52.7
Melawondi	59.1
Meldale	50
Memerambi	57
Mena Creek	59.8
Menzies (Qld)	70.3
Mer Island	38.8
Meridan Plains	60.3
Meringandan	72.8
Meringandan West	70.4
Merlwood	55.9
Mermaid Beach	69.1
Mermaid Waters	61.4
Merrimac	62.2
Merritts Creek	68.3
Merryburn	68.1
Merryvale	16.7
Mexico	75
Mia Mia (Qld)	72.5
Miallo	57.8
Miami	65.3
Miara	36.8
Mica Creek	65.8
Middle Park (Qld)	66.3
Middle Ridge	60.4
Middlebrook	52.3
Middlemount	70.9
Middleton (Qld)	45.5
Midge Point	44.1
Midgee (Qld)	55
Midgenoo	62.5
Midgeree Bar	75.7
Mighell	51.1
Milbong	56.3
Miles	57.6
Miles End	71
Milford	57.2
Millaa Millaa	51.6
Millaroo	66.7
Millbank (Qld)	43.1
Millchester	59.3
