SSC_NAME16	PrivateDwelling	persons
Brocklesby	0	12
Brocklesby	1	176
Brockley	1	37
Brodies Plains	0	3
Brodies Plains	1	54
Brogans Creek	1	11
Brogers Creek	0	9
Brogers Creek	1	31
Brogo	0	42
Brogo	1	447
Broke (NSW)	0	86
Broke (NSW)	1	476
Broken Head	0	99
Broken Head	1	233
Broken Hill	0	2155
Broken Hill	1	15866
Brombin	0	10
Brombin	1	104
Bronte	0	504
Bronte	1	6050
Brookdale (NSW)	0	7
Brookdale (NSW)	1	24
Brookfield (NSW)	0	20
Brookfield (NSW)	1	180
Brooklana	0	6
Brooklana	1	41
Brooklet	0	26
Brooklet	1	230
Brooklyn (NSW)	0	45
Brooklyn (NSW)	1	665
Brookvale	0	220
Brookvale	1	2906
Brooman	1	19
Brooms Head	0	59
Brooms Head	1	194
Broughams Gate	1	18
Broughton (NSW)	0	3
Broughton (NSW)	1	80
Broughton Vale	0	11
Broughton Vale	1	151
Broughton Village	1	84
Broulee	0	171
Broulee	1	1466
Brownlow Hill	0	171
Brownlow Hill	1	274
Browns Creek	0	4
Browns Creek	1	90
Browns Mountain	1	21
Brownsville	0	43
Brownsville	1	484
Brucedale	0	15
Brucedale	1	164
Bruie Plains	1	43
Bruinbun	0	23
Bruinbun	1	19
Brumby Plains	1	3
Brundee	0	3
Brundee	1	41
Brungle	1	105
Brungle Creek	1	32
Brunkerville	0	9
Brunkerville	1	184
Brunswick Heads	0	472
Brunswick Heads	1	1565
Brushgrove	0	10
Brushgrove	1	182
Brushy Creek	1	21
Bucca (NSW)	0	39
Bucca (NSW)	1	491
Bucca Wauka	0	14
Bucca Wauka	1	70
Buccarumbi	0	9
Buccarumbi	1	14
Buchanan (NSW)	0	19
Buchanan (NSW)	1	176
Buckajo	0	15
Buckajo	1	263
Buckaroo	0	3
Buckaroo	1	119
Buckenbowra	1	10
Buckenderra	1	18
Buckendoon	0	3
Buckendoon	1	38
Bucketty	0	23
Bucketty	1	159
Buckra Bendinni	0	19
Buckra Bendinni	1	84
Budawang	0	3
Budawang	1	11
Buddabadah	0	7
Buddabadah	1	36
Budden	0	3
Budden	1	12
Budgee Budgee (NSW)	0	13
Budgee Budgee (NSW)	1	184
Budgewoi	0	180
Budgewoi	1	3122
Budgong	0	4
Budgong	1	60
Buff Point	0	165
Buff Point	1	3239
Bugaldie	0	3
Bugaldie	1	131
Bukkulla	0	7
Bukkulla	1	131
Bulahdelah	0	199
Bulahdelah	1	1280
Bulga (NSW)	0	40
Bulga (NSW)	1	307
Bulga Forest	1	6
Bulgary	1	8
Bulla (NSW)	1	4
Bulla Creek	1	54
Bullaburra	0	57
Bullaburra	1	1139
Bullagreen	1	47
Bullarah	0	23
Bullarah	1	79
Bullatale	0	3
Bullatale	1	40
Bullawa Creek	0	12
Bullawa Creek	1	96
Bulldog	0	3
Bulldog	1	19
Bulli	0	303
Bulli	1	5723
Bulliac	1	35
Bullio	0	20
Bullio	1	59
Bulyeroi	1	21
Bumbaldry	0	16
Bumbaldry	1	88
Bumbalong	0	7
Bumbalong	1	14
Bundabah	0	5
Bundabah	1	109
Bundagen	0	18
Bundagen	1	118
Bundanoon (NSW)	0	282
Bundanoon (NSW)	1	2419
Bundarra	0	63
Bundarra	1	611
Bundeena	0	72
Bundeena	1	1791
Bundella	0	7
Bundella	1	57
Bundemar	0	3
Bundemar	1	35
Bundewallah	0	3
Bundewallah	1	42
Bundook	0	7
Bundook	1	89
Bundure	1	3
Bungaba	0	22
Bungaba	1	70
Bungalora	0	3
Bungalora	1	63
Bungarby	0	18
Bungarby	1	47
Bungarribee	0	56
Bungarribee	1	2578
Bungawalbin	0	22
Bungawalbin	1	100
Bungendore	0	235
Bungendore	1	3829
Bungonia	0	30
Bungonia	1	326
Bungowannah	1	151
Bungwahl	0	21
Bungwahl	1	220
Bunnaloo	0	4
Bunnaloo	1	98
Bunnan	0	15
Bunnan	1	95
Bunyah	0	3
Bunyah	1	137
Bunyan	0	3
Bunyan	1	149
