SSC_NAME16	PrivateDwelling	persons
Darch	1	6785
Dardadine	1	21
Dardanup	0	18
Dardanup	1	476
Dardanup West	0	29
Dardanup West	1	616
Darkan	0	34
Darkan	1	366
Darling Downs	0	24
Darling Downs	1	1142
Darlington (WA)	0	122
Darlington (WA)	1	3438
Darradup	1	29
Dartmoor (WA)	1	7
Dartnall	0	6
Dartnall	1	24
Datatine	1	22
Davenport (WA)	1	13
Dawesville	0	230
Dawesville	1	5248
Dayton	0	136
Dayton	1	2625
De Grey	0	79
De Grey	1	20
Deanmill	0	22
Deanmill	1	300
Deepdale	0	41
Deepdale	1	777
Deepdene (WA)	0	12
Deepdene (WA)	1	52
Denbarker	1	72
Denham	0	985
Denham	1	673
Denmark	0	391
Denmark	1	2222
Derby (WA)	0	1154
Derby (WA)	1	2958
Devils Creek	1	21
Dewars Pool	0	7
Dewars Pool	1	29
Diamond Tree	1	22
Dianella	0	900
Dianella	1	22131
Dindiloa	1	17
Dingup	0	8
Dingup	1	180
Dinninup	0	8
Dinninup	1	113
Dirk Hartog Island	1	4
Dixvale	0	9
Dixvale	1	39
Djugun	0	257
Djugun	1	2603
Dongara	0	177
Dongara	1	1217
Dongolocking	0	7
Dongolocking	1	25
Donnelly River	0	14
Donnelly River	1	3
Donnybrook (WA)	0	250
Donnybrook (WA)	1	2407
Doodenanning	0	14
Doodenanning	1	26
Doodlakine	0	5
Doodlakine	1	63
Doubleview	0	472
Doubleview	1	7687
Dowerin	0	39
Dowerin	1	412
Drome	0	9
Drome	1	35
Drummond Cove	0	112
Drummond Cove	1	1303
Dryandra	1	3
Drysdale River	0	130
Drysdale River	1	22
Dudawa	1	27
Dudinin	0	9
Dudinin	1	66
Dudley Park (WA)	0	521
Dudley Park (WA)	1	5476
Dukin	1	28
Dulbelling	0	6
Dulbelling	1	41
Dulyalbin	0	3
Dulyalbin	1	16
Dumbarton	0	15
Dumbarton	1	189
Dumberning	0	120
Dumberning	1	119
Dumbleyung	0	19
Dumbleyung	1	240
Duncraig	0	540
Duncraig	1	14440
Dundas (WA)	0	3
Dunn Rock	1	13
Dunsborough	0	376
Dunsborough	1	4607
Durack (WA)	0	475
Durack (WA)	1	140
Duranillin	0	3
Duranillin	1	64
Durawah	1	15
Dwarda	0	4
Dwarda	1	13
Dwellingup	0	116
Dwellingup	1	471
Eagle Bay	0	22
Eagle Bay	1	59
East Augusta	1	24
East Ballidu	1	45
East Beverley	0	15
East Beverley	1	76
East Bowes	0	13
East Bowes	1	49
East Bunbury	0	175
East Bunbury	1	3559
East Cannington	0	302
East Cannington	1	5023
East Carnarvon	0	361
East Carnarvon	1	779
East Chapman	1	40
East Damboring	1	11
East Fremantle	0	513
East Fremantle	1	6700
East Lyons River	0	59
East Lyons River	1	6
East Munglinup	0	21
East Munglinup	1	47
East Murchison	0	9
East Murchison	1	11
East Nabawa	0	3
East Nabawa	1	8
East Nannup	0	12
East Nannup	1	22
East Newdegate	1	12
East Perth	0	3019
East Perth	1	8525
East Pingelly	0	19
East Pingelly	1	184
East Popanyinning	0	4
East Popanyinning	1	9
East Rockingham	0	53
East Rockingham	1	218
East Victoria Park	0	895
East Victoria Park	1	8960
East Wickepin	0	4
East Wickepin	1	36
East Yuna	0	12
East Yuna	1	33
Eastbrook	0	16
Eastbrook	1	114
Eaton (WA)	0	593
Eaton (WA)	1	7571
Eden Hill	0	160
Eden Hill	1	3219
Edgewater	0	135
Edgewater	1	4236
Eganu	0	12
Eganu	1	45
Eglinton (WA)	0	115
Eglinton (WA)	1	1501
Eighty Mile Beach	0	532
Eighty Mile Beach	1	71
Elabbin	0	3
Elabbin	1	20
Elachbutting	0	7
Elachbutting	1	11
Elgin (WA)	0	9
Elgin (WA)	1	113
Elleker	0	17
Elleker	1	339
Ellenbrook	0	1259
Ellenbrook	1	20947
Ellendale (WA)	0	7
Ellendale (WA)	1	14
Embleton	0	295
Embleton	1	2822
Emu Flat (WA)	0	81
Emu Flat (WA)	1	10
Emu Point	0	151
Emu Point	1	195
Eneabba	0	54
Eneabba	1	127
Eradu	1	16
Eradu South	1	18
Erskine (WA)	0	223
Erskine (WA)	1	4165
Esperance	0	580
Esperance	1	1679
Eucla	0	146
Eucla	1	27
Eurardy	0	7
Ewlyamartup	1	31
Exmouth	0	1438
Exmouth	1	2255
Exmouth Gulf	0	152
Exmouth Gulf	1	26
Fairbridge	0	20
Fairbridge	1	39
Falcon	0	250
Falcon	1	4672
Ferguson (WA)	0	33
Ferguson (WA)	1	203
Ferndale (WA)	0	242
Ferndale (WA)	1	3958
Fitzroy Crossing	0	754
Fitzroy Crossing	1	1022
Floreat	0	214
Floreat	1	7479
Forest Grove (WA)	0	43
Forest Grove (WA)	1	215
Forest Hill (WA)	0	79
Forest Hill (WA)	1	58
Forrest Beach (WA)	1	42
Forrestania	0	218
Forrestdale	0	38
Forrestdale	1	1005
Forrestfield	0	686
Forrestfield	1	11792
Fortescue (WA)	0	31
Fortescue (WA)	1	30
Frankland River	0	66
Frankland River	1	282
Fraser Range	0	393
Fraser Range	1	8
Fremantle	0	1847
Fremantle	1	6767
Furnissdale	0	88
Furnissdale	1	903
Gabalong	1	5
Gabbadah	0	28
Gabbadah	1	616
Gabbin	1	56
Gairdner	0	14
Gairdner	1	96
Gap Ridge	0	337
Gap Ridge	1	51
Garden Island (WA)	0	1587
Gascoyne Junction	0	62
Gascoyne Junction	1	56
Gascoyne River	0	62
Gascoyne River	1	141
Geegully Creek	0	14
Geegully Creek	1	12
Gelorup	0	162
Gelorup	1	2049
Geographe	0	203
Geographe	1	3027
Georgina (WA)	0	9
Georgina (WA)	1	72
Geraldton	0	940
Geraldton	1	2482
Ghooli	1	10
Gibb	0	123
Gibb	1	85
Gibson	0	139
Gibson	1	320
Gibson Desert North	0	23
Gibson Desert North	1	267
Gibson Desert South	0	9
Gibson Desert South	1	55
Gidgegannup	0	185
Gidgegannup	1	2458
Gilgering	0	10
Gilgering	1	80
Gillimanning	0	3
Gillimanning	1	12
Gillingarra	1	42
Gingerah	0	8
Gingin	0	48
Gingin	1	755
Ginginup	0	10
Ginginup	1	23
Girrawheen	0	358
Girrawheen	1	8316
Gledhow	0	70
Gledhow	1	865
Glen Forrest	0	106
Glen Forrest	1	2603
Glen Iris (WA)	0	175
Glen Iris (WA)	1	2734
Glen Mervyn	0	5
Glen Mervyn	1	40
Glencoe (WA)	1	28
Glendalough	0	304
Glendalough	1	2113
Glenfield (WA)	0	38
Glenfield (WA)	1	873
Glenlynn	0	6
Glenlynn	1	95
Glenoran	0	3
Glenoran	1	81
Glentromie	0	4
Glentromie	1	42
Gnangara	0	35
Gnangara	1	1062
Gnarabup	0	169
Gnarabup	1	402
Gnoorea	0	84
Gnoorea	1	7
Gnowangerup	0	80
Gnowangerup	1	517
Gnowellen	0	7
Gnowellen	1	21
Golden Bay	0	187
Golden Bay	1	3428
Goode Beach	0	25
Goode Beach	1	195
Goodlands	0	3
Goodlands	1	44
Goomalling	0	99
Goomalling	1	453
Goomarin	1	19
Gooseberry Hill	0	132
Gooseberry Hill	1	3069
Gorge Rock	0	3
Gorge Rock	1	29
Gosnells	0	1494
Gosnells	1	18416
Gracetown	0	39
Gracetown	1	198
Granville (WA)	0	16
Granville (WA)	1	16
Grass Patch	0	19
Grass Patch	1	96
Grass Valley	0	10
Grass Valley	1	154
Green Head	0	34
Green Head	1	249
Green Range	0	7
Green Range	1	64
Green Valley (WA)	0	3
Green Valley (WA)	1	40
Greenbushes	0	36
Greenbushes	1	354
Greenfields	0	584
Greenfields	1	9031
Greenhills	0	19
Greenhills	1	53
Greenmount (WA)	0	225
Greenmount (WA)	1	2423
Greenough	0	20
Greenough	1	258
Greenwood (WA)	0	255
Greenwood (WA)	1	9088
Greenwoods Valley	1	11
Gregory (WA)	0	24
Gregory (WA)	1	59
Grey	0	4
Grey	1	3
Greys Plain	1	194
Guilderton	0	58
Guilderton	1	141
Guildford (WA)	0	505
Guildford (WA)	1	1485
Gundaring	1	3
Gunyidi	0	9
Gunyidi	1	34
Gutha	0	4
Gutha	1	53
Gwambygine	1	71
Gwelup	0	391
Gwelup	1	4166
Gwindinup	1	49
Hacketts Gully	1	47
Halls Creek (WA)	0	572
Halls Creek (WA)	1	1161
Halls Head	0	670
Halls Head	1	12423
Hamel	0	16
Hamel	1	243
Hamelin Bay	0	7
Hamelin Bay	1	42
Hamelin Pool	0	113
Hamelin Pool	1	26
Hamersley	0	133
Hamersley	1	4730
Hamilton Hill	0	908
Hamilton Hill	1	9287
Hammond Park	0	201
Hammond Park	1	4582
Hannans	0	141
Hannans	1	2354
Harris River	0	4
Harris River	1	92
Harrisdale	0	209
Harrisdale	1	8687
Harrismith	0	3
Harrismith	1	56
Harvey	0	313
Harvey	1	2971
Hastings (WA)	0	3
Hastings (WA)	1	35
Hay (WA)	0	39
Hay (WA)	1	283
Haynes	0	46
Haynes	1	691
Hazelmere	0	78
Hazelmere	1	796
Hazelvale	0	20
Hazelvale	1	54
Heathridge	0	281
Heathridge	1	6252
Helena Valley	0	92
Helena Valley	1	3490
Henderson	0	12
Henderson	1	6
Henley Brook	0	162
Henley Brook	1	2305
Henty (WA)	0	15
Henty (WA)	1	139
Herne Hill (WA)	0	80
Herne Hill (WA)	1	1411
Herron	0	45
Herron	1	376
Hester	0	8
Hester	1	82
Hester Brook	0	3
Hester Brook	1	93
Higginsville	0	149
Higginsville	1	5
High Wycombe	0	769
High Wycombe	1	11224
Highbury (WA)	0	47
Highbury (WA)	1	234
Highgate (WA)	0	253
Highgate (WA)	1	1945
Hilbert	0	27
Hilbert	1	1489
Hill River (WA)	0	21
Hill River (WA)	1	83
Hillarys	0	272
Hillarys	1	10331
Hillman	0	88
Hillman	1	1704
Hillside (WA)	1	60
Hilton (WA)	0	380
Hilton (WA)	1	3476
Hindmarsh (WA)	0	6
Hindmarsh (WA)	1	36
Hines Hill	0	3
Hines Hill	1	48
Hithergreen	0	4
Hithergreen	1	47
Hocking	0	115
Hocking	1	5664
Hoddys Well	0	15
Hoddys Well	1	96
Hoffman	0	11
Hoffman	1	26
Holmwood	0	19
Holmwood	1	25
Holt Rock	1	36
Holyoake	1	18
Hope Valley (WA)	0	5
Hope Valley (WA)	1	58
Hopeland (WA)	0	35
Hopeland (WA)	1	291
Hopetoun (WA)	0	119
Hopetoun (WA)	1	682
Horrocks	0	43
Horrocks	1	122
Houtman Abrolhos	0	8
Hovea	0	14
Hovea	1	587
Howatharra	0	23
Howatharra	1	113
Howick (WA)	0	8
Howick (WA)	1	52
Hulongine	1	29
Huntingdale (WA)	0	256
Huntingdale (WA)	1	8277
Hyden	0	72
Hyden	1	335
Ikewa	0	9
Ikewa	1	24
Iluka (WA)	0	62
Iluka (WA)	1	5104
Indee	0	148
Inggarda	0	22
Inggarda	1	12
Inglehope	1	38
Inglewood (WA)	0	350
Inglewood (WA)	1	5180
Inkpen	1	23
Innaloo	0	654
Innaloo	1	7343
Innawanga	0	41
Innawanga	1	8
Irishtown (WA)	0	13
Irishtown (WA)	1	59
Irwin	0	7
Irwin	1	76
Isseka	1	65
Jackitup	0	7
Jackitup	1	50
Jacup	0	6
Jacup	1	54
Jalbarragup	0	13
Jalbarragup	1	109
Jaloran	1	30
Jandabup	0	3
Jandabup	1	300
Jandakot	0	190
Jandakot	1	2378
Jane Brook	0	78
Jane Brook	1	3307
Jardee	0	4
Jardee	1	155
Jarrahdale	0	88
Jarrahdale	1	1080
Jarrahwood	1	20
Jelcobine	0	18
Jelcobine	1	149
Jennacubbine	0	9
Jennacubbine	1	47
Jennapullin	0	12
Jennapullin	1	60
Jerdacuttup	0	234
Jerdacuttup	1	74
Jerramungup	0	75
Jerramungup	1	289
Jibberding	0	11
Jibberding	1	24
Jilakin	0	3
Jilakin	1	43
Jindalee (WA)	0	121
Jindalee (WA)	1	2371
Jindong	0	12
Jindong	1	60
Jingalup	0	11
Jingalup	1	101
Jitarning	1	35
Jolimont	0	169
Jolimont	1	1173
Joondalup	0	1349
Joondalup	1	7948
Joondanna	0	324
Joondanna	1	4369
Julimar	0	23
Julimar	1	312
Juna Downs	0	686
Jurien Bay	0	256
Jurien Bay	1	1513
Kadathinni	1	46
Kalamunda	0	291
Kalamunda	1	6451
Kalannie	0	21
Kalannie	1	155
Kalbarri	0	1298
Kalbarri	1	1303
Kalgan	0	178
Kalgan	1	620
Kalgoorlie	0	950
Kalgoorlie	1	3234
Kalgup	1	63
Kallaroo	0	243
Kallaroo	1	4806
Kaloorup	1	67
Kalumburu	0	48
Kalumburu	1	411
Kambalda East	0	589
Kambalda East	1	572
Kambalda West	0	163
Kambalda West	1	1588
Kangaroo Gully	0	26
Kangaroo Gully	1	395
Kanowna	0	8
Kanowna	1	4
Karakin	0	10
Karakin	1	207
Karalundi	0	40
Karalundi	1	47
Karawara	0	511
Karawara	1	1565
Kardinya	0	260
Kardinya	1	8278
Karijini	0	478
Karijini	1	26
Karlgarin	0	3
Karlgarin	1	90
Karlkurla	0	36
Karlkurla	1	139
Karloning	1	28
Karloo	0	52
Karloo	1	523
Karnup	0	120
Karnup	1	1236
Karragullen	0	14
Karragullen	1	377
Karrakatta	0	19
Karrakup	0	33
Karrakup	1	155
Karranadgin	1	83
Karratha	0	134
Karratha	1	28
Karratha Industrial Estate	0	552
Karratha Industrial Estate	1	92
Karridale	0	34
Karridale	1	246
Karrinyup	0	656
Karrinyup	1	8382
Katanning	0	562
Katanning	1	3093
Katrine	0	3
Katrine	1	43
Kauring	0	14
Kauring	1	72
Kealy	0	28
Kealy	1	340
Kebaringup	0	4
Kebaringup	1	30
Kellerberrin	0	122
Kellerberrin	1	837
Kelmscott	0	737
Kelmscott	1	9542
Kendenup	0	66
Kendenup	1	882
Kenmare (WA)	1	24
Kennedy Range	0	5
Kensington (WA)	0	357
Kensington (WA)	1	4132
Kentdale	0	6
Kentdale	1	86
Kenwick	0	226
Kenwick	1	5426
Kewdale	0	450
Kewdale	1	6297
Keysbrook	0	388
Keysbrook	1	234
Kiara	0	111
Kiara	1	1680
Kimbolton (WA)	0	50
King Leopold Ranges	0	588
King Leopold Ranges	1	176
King River	0	33
King River	1	237
Kings Park (WA)	0	3
Kings Park (WA)	1	18
Kingsford (WA)	0	526
Kingsford (WA)	1	315
Kingsley	0	692
Kingsley	1	12116
Kingston (WA)	1	13
Kinross	0	165
Kinross	1	6565
Kirk Rock	1	18
Kirup	0	34
Kirup	1	184
Kojaneerup South	0	4
Kojaneerup South	1	31
Kojarena	1	31
Kojonup	0	119
Kojonup	1	1116
Kokeby	0	10
Kokeby	1	71
Kondinin	0	41
Kondinin	1	296
Kondut	1	40
Konnongorring	1	80
Koojan	1	54
Kookynie	0	47
Kookynie	1	19
Koolanooka	1	16
Koolyanobbing	0	365
Koomberkine	1	70
Koondoola	0	252
Koondoola	1	3721
Koongamia	0	73
Koongamia	1	881
Koorda	0	27
Koorda	1	231
Korbel	1	41
Kordabup	0	11
Kordabup	1	133
Korrelocking	0	18
Korrelocking	1	32
Kronkup	0	24
Kronkup	1	197
Kudardup	0	7
Kudardup	1	86
Kuender	1	41
Kukerin	0	26
Kukerin	1	49
Kulikup	0	16
Kulikup	1	98
Kulin	0	37
Kulin	1	315
Kulin West	0	3
Kulin West	1	72
Kulja	1	15
Kumarina	0	182
Kumarina	1	7
Kunjin	1	23
Kununoppin	0	11
Kununoppin	1	38
Kununurra	0	2319
Kununurra	1	4513
Kurnalpi	0	3
Kurrenkutten	0	3
Kurrenkutten	1	26
Kweda	0	6
Kweda	1	8
Kwelkan	0	4
Kwelkan	1	7
Kwinana Beach	0	13
Kwinana Beach	1	5
Kwinana Town Centre	0	20
Kwinana Town Centre	1	219
Kwolyin	0	5
Kwolyin	1	19
Lagrange	0	92
Lagrange	1	614
Lake Argyle	0	527
Lake Argyle	1	146
Lake Austin	0	10
Lake Biddy	1	31
Lake Brown	1	13
Lake Camm	1	36
Lake Carnegie	0	32
Lake Carnegie	1	3
Lake Clifton	0	83
Lake Clifton	1	570
Lake Darlot	0	181
Lake Darlot	1	6
Lake Deborah	0	223
Lake Grace	0	96
Lake Grace	1	449
Lake Hinds	1	27
Lake Jasper	1	11
Lake King	0	21
Lake King	1	70
Lake Margarette	1	18
Lake Muir	0	3
Lake Muir	1	10
Lake Ninan	0	4
Lake Ninan	1	16
Lake Toolbrunup	0	10
Lake Toolbrunup	1	58
Lake Wells	0	17
Lake Wells	1	4
Lakelands (WA)	0	207
Lakelands (WA)	1	4370
Lamington (WA)	0	97
Lamington (WA)	1	1932
Lancelin	0	99
Lancelin	1	598
Landsdale	0	383
Landsdale	1	11669
Lange	0	3
Lange	1	215
Langford	0	197
Langford	1	5378
Latham (WA)	1	59
Lathlain	0	143
Lathlain	1	3135
Laverton (WA)	0	1789
Laverton (WA)	1	339
Learmonth (WA)	0	12
Leda	0	202
Leda	1	3033
Ledge Point	0	53
Ledge Point	1	190
Leederville	0	308
Leederville	1	2750
Leeman	0	50
Leeman	1	277
Leeming	0	184
Leeming	1	10293
Leeuwin	1	4
Leinster	0	1016
Leinster	1	318
Lennard Brook	0	10
Lennard Brook	1	182
Leonora	0	829
Leonora	1	436
Leschenault	0	89
Leschenault	1	2676
Lesmurdie	0	600
Lesmurdie	1	7545
Lexia	0	3
Lexia	1	27
Lime Lake	1	16
Linfarne	0	7
Linfarne	1	52
Little Grove	0	26
Little Grove	1	1379
Little Italy	1	13
Little Sandy Desert	0	18
Little Sandy Desert	1	5
Lockier	1	15
Lockridge	0	235
Lockridge	1	3159
Lockyer (WA)	0	106
Lockyer (WA)	1	1165
Lol Gray	0	10
Lol Gray	1	17
Lort River	0	14
Lort River	1	20
Lowden	0	12
Lowden	1	106
Lower Chittering	0	140
Lower Chittering	1	1909
Lower Hotham	0	9
Lower Hotham	1	20
Lower King	0	87
Lower King	1	1669
Lowlands	0	26
Lowlands	1	118
Ludlow	0	20
Ludlow	1	95
Lumeah (WA)	0	10
Lumeah (WA)	1	73
Lyalls Mill	1	16
Lyndon	0	235
Lyndon	1	19
Lynwood (WA)	0	199
Lynwood (WA)	1	3198
Macleod (WA)	0	207
Macleod (WA)	1	39
Maddington	0	630
Maddington	1	10563
Madeley	0	293
Madeley	1	5657
Madora Bay	0	108
Madora Bay	1	2517
Madura	0	53
Madura	1	10
Magenta (WA)	1	5
Magitup	0	3
Magitup	1	22
Mahogany Creek	0	120
Mahogany Creek	1	760
Mahomets Flats	0	96
Mahomets Flats	1	731
Maida Vale	0	127
Maida Vale	1	4234
Maitland (WA)	0	12
Malabaine	0	3
Malabaine	1	33
Malaga	1	7
Malebelling	0	11
Malebelling	1	29
Mallee Hill	1	32
Malyalling	1	29
Mandogalup	0	10
Mandogalup	1	44
Mandurah	0	948
Mandurah	1	6834
Manjimup	0	370
Manjimup	1	3915
Manmanning	1	30
Manning	0	201
Manning	1	3807
Manypeaks	0	17
Manypeaks	1	131
Marangaroo	0	573
Marangaroo	1	9907
Maranup	0	9
Maranup	1	56
Marbelup	0	16
Marbelup	1	314
Marble Bar	0	580
Marble Bar	1	452
Marchagee	1	40
Mardella	0	25
Mardella	1	450
Mardie	0	1769
Mardie	1	9
Margaret River (WA)	0	898
Margaret River (WA)	1	6671
Mariginiup	0	41
Mariginiup	1	759
Marmion	0	83
Marmion	1	2149
Marne	0	3
Marne	1	11
Marracoonda	1	13
Marradong	0	10
Marradong	1	44
Marrah	0	4
Marrinup	1	4
Martin	0	140
Martin	1	1380
Marvel Loch	0	211
Marvel Loch	1	62
Marybrook	0	396
Marybrook	1	166
Maya	1	18
Mayanup	1	152
Maylands (WA)	0	840
Maylands (WA)	1	11260
McAlinden	0	4
McAlinden	1	58
McBeath	0	24
McBeath	1	23
McKail	0	134
McKail	1	3225
Meadow	0	51
Meadow Springs	0	423
Meadow Springs	1	7450
Meckering	0	13
Meckering	1	221
Meda	0	46
Meda	1	15
Medina	0	204
Medina	1	2133
Meekatharra	0	496
Meekatharra	1	466
Meeking	1	8
Meelon	0	17
Meelon	1	170
Meenaar	1	32
Meerup	0	6
Meerup	1	149
Melville (WA)	0	225
Melville (WA)	1	5359
Menora	0	298
Menora	1	2236
Menzies (WA)	0	41
Menzies (WA)	1	87
Merilup	0	3
Merilup	1	22
Merivale	0	21
Merivale	1	64
Merkanooka	0	6
Merkanooka	1	43
Merredin	0	336
Merredin	1	2519
Merriwa (WA)	0	409
Merriwa (WA)	1	4899
Meru	1	35
Metricup	0	33
Metricup	1	198
Mettler	1	26
Miamoon	1	13
Middle Swan	0	317
Middle Swan	1	2524
Middlesex (WA)	0	22
Middlesex (WA)	1	187
Middleton Beach	0	224
Middleton Beach	1	631
Midland	0	1104
Midland	1	5002
Midvale	0	99
Midvale	1	1371
Miling	0	17
Miling	1	116
Millars Well	0	126
Millars Well	1	1673
Millbridge	0	98
Millbridge	1	2194
Millbrook (WA)	0	10
Millbrook (WA)	1	257
Millendon	0	27
Millendon	1	490
Mills Lake	0	23
Mills Lake	1	19
Millstream (WA)	0	104
Millstream (WA)	1	14
Milo	1	10
Milpara	0	48
Milpara	1	780
Mimegarra	0	11
Mimegarra	1	8
Mindarabin	0	13
Mindarabin	1	50
Mindarie (WA)	0	276
Mindarie (WA)	1	7046
Mindarra	0	15
Mindarra	1	23
Minding	0	3
Minding	1	40
Mingenew	0	126
Mingenew	1	255
Minigin	0	12
Minigin	1	55
Minilya	0	37
Minilya	1	5
Minnenooka	1	35
Minnivale	0	3
Minnivale	1	31
Minyirr	0	186
Minyirr	1	98
Mira Mar	0	81
Mira Mar	1	1561
Mirrabooka (WA)	0	319
Mirrabooka (WA)	1	7770
Mitchell Plateau	0	234
Mitchell Plateau	1	28
Mobrup	0	3
Mobrup	1	37
Mocardy	0	3
Mocardy	1	83
Mogumber	0	3
Mogumber	1	51
Mokine	0	16
Mokine	1	189
Mokup	0	3
Mokup	1	51
Mollerin	1	27
Molloy Island	0	3
Molloy Island	1	95
Monjebup	1	18
Monjingup	0	60
Monjingup	1	368
Moodiarrup	0	3
Moodiarrup	1	40
Moojebing	0	9
Moojebing	1	39
Mooliabeenee	0	8
Mooliabeenee	1	137
Moondah	1	38
Moondyne	0	4
Moondyne	1	37
Moonies Hill	0	7
Moonies Hill	1	26
Moonyoonooka	0	6
Moonyoonooka	1	227
Moora (WA)	0	289
Moora (WA)	1	1528
Mooriary	1	16
Moorine Rock	0	16
Moorine Rock	1	50
Morangup	0	46
Morangup	1	698
Morawa	0	161
Morawa	1	433
Morbinning	1	17
Mordalup	1	21
Moresby (WA)	0	20
Moresby (WA)	1	805
Morgantown	0	155
Morgantown	1	623
Morley	0	942
Morley	1	20186
Mornington (WA)	0	12
Mornington (WA)	1	38
Mosman Park (WA)	0	882
Mosman Park (WA)	1	7683
Moulyinning	0	3
Moulyinning	1	42
Mount Adams	1	16
Mount Barker (WA)	0	282
Mount Barker (WA)	1	2401
Mount Budd	1	19
Mount Burges	0	15
Mount Burges	1	80
Mount Caroline	1	7
Mount Claremont	0	249
Mount Claremont	1	4304
Mount Clarence	0	130
Mount Clarence	1	534
Mount Elphinstone	0	14
Mount Elphinstone	1	95
Mount Erin	1	3
Mount Hampton	0	7
Mount Hampton	1	27
Mount Hardey	0	10
Mount Hardey	1	171
Mount Hardman	0	36
Mount Hardman	1	439
Mount Hawthorn	0	241
Mount Hawthorn	1	7114
Mount Helena	0	91
Mount Helena	1	2981
Mount Hill	0	10
Mount Hill	1	36
Mount Holland	1	3
Mount Horner	1	28
Mount Lawley	0	1606
Mount Lawley	1	9425
Mount Lindesay (WA)	1	3
Mount Madden	0	3
Mount Madden	1	34
Mount Magnet	0	333
Mount Magnet	1	329
Mount Melville	0	52
Mount Melville	1	987
Mount Nasura	0	329
Mount Nasura	1	2746
Mount Ney	1	4
Mount Pleasant (WA)	0	234
Mount Pleasant (WA)	1	6310
Mount Richon	0	91
Mount Richon	1	1819
Mount Sheila	0	2620
Mount Sheridan (WA)	0	12
Mount Sheridan (WA)	1	33
Mount Stirling	0	4
Mount Stirling	1	20
Mount Tarcoola	0	174
Mount Tarcoola	1	2926
Mount Walker (WA)	1	50
Mouroubra	0	3
Muchea	0	70
Muchea	1	859
Muckenburra	0	24
Muckenburra	1	132
Mueller Ranges	0	165
Mueller Ranges	1	314
Muja	1	18
Mukinbudin	0	29
Mukinbudin	1	317
Mulga Downs	0	300
Mulga Downs	1	21
Mullaloo	0	227
Mullaloo	1	5570
Mullalyup	0	17
Mullalyup	1	130
Mullewa	0	130
Mullewa	1	389
Mullingar	0	34
Mullingar	1	270
Muluckine	0	113
Muluckine	1	166
Mumballup	0	13
Mumballup	1	73
Mumberkine	0	3
Mumberkine	1	60
Mundabullangana	1	7
Mundaring	0	162
Mundaring	1	2806
Mundijong	0	96
Mundijong	1	1098
Mundrabilla	0	62
Mundrabilla	1	10
Mungalup	1	40
Munglinup	0	35
Munglinup	1	106
Munster	0	178
Munster	1	4135
Muntadgin	0	7
Muntadgin	1	35
Muradup	0	9
Muradup	1	103
Murchison (WA)	0	77
Murchison (WA)	1	35
Murdoch	0	1840
Murdoch	1	2570
Murdong	1	29
Muresk	0	47
Muresk	1	8
Myalup	0	72
Myalup	1	274
Myaree	0	139
Myaree	1	1773
Myrup	0	66
Myrup	1	410
Nabawa	0	10
Nabawa	1	117
Nairibin	0	3
Nairibin	1	13
Nalkain	1	9
Nalyerlup	1	19
Namban	1	33
Nambeelup	0	24
Nambeelup	1	286
Nambung	0	3
Nambung	1	27
Nanarup	0	3
Nanarup	1	23
Nanga	0	67
Nanga	1	15
Nangeenan	0	7
Nangeenan	1	67
Nangetty	1	11
Nannup	0	114
Nannup	1	806
Nanson	0	37
Nanson	1	80
Nanutarra	0	267
Nanutarra	1	30
Napier	0	15
Napier	1	266
Naraling	0	3
Naraling	1	14
Narembeen	0	61
Narembeen	1	395
Narngulu	0	335
Narngulu	1	51
Narra Tarra	0	6
Narra Tarra	1	73
Narraloggan	1	23
Narrikup	0	45
Narrikup	1	428
Narrogin	0	610
Narrogin	1	3629
Narrogin Valley	1	117
Naturaliste	0	68
Naturaliste	1	51
Naval Base	0	5
Naval Base	1	16
Nedlands	0	1419
Nedlands	1	9525
Needilup	0	20
Needilup	1	86
Neendaling	0	3
Neendaling	1	21
Neerabup	0	21
Neerabup	1	87
Neergabby	0	32
Neergabby	1	194
Nembudding	1	11
Neridup	0	20
Neridup	1	116
Nerren Nerren	0	25
Nerren Nerren	1	5
New Norcia	0	75
New Norcia	1	54
Newcarlbeon	1	26
Newdegate	0	16
Newdegate	1	134
Newlands (WA)	0	7
Newlands (WA)	1	109
Newman	0	8435
Newman	1	3879
Ngaanyatjarra-Giles	0	155
Ngaanyatjarra-Giles	1	887
Nickol	0	328
Nickol	1	4320
Nilgen	0	11
Nilgen	1	207
Nillup	0	11
Nillup	1	46
Ningaloo	0	170
Ningaloo	1	9
Nippering	1	17
Nirimba	0	3
Nirimba	1	70
Noggerup	0	8
Noggerup	1	66
Nokaning	0	4
Nokaning	1	52
Nolba	1	24
Nollamara	0	810
Nollamara	1	10556
Nomans Lake	1	40
Noranda	0	324
Noranda	1	7527
Nornalup	0	18
Nornalup	1	46
Norpa	1	11
Norseman	0	148
Norseman	1	499
North Baandee	0	12
North Baandee	1	25
North Beach (WA)	0	129
North Beach (WA)	1	3158
North Bodallin	0	9
North Bodallin	1	16
North Boyanup	0	19
North Boyanup	1	334
North Burngup	1	10
North Cascade	0	4
North Cascade	1	3
North Coogee	0	229
North Coogee	1	2093
North Dandalup	0	52
North Dandalup	1	625
North Eradu	0	8
North Eradu	1	7
North Fremantle	0	387
North Fremantle	1	2834
North Greenbushes	1	114
North Jindong	1	75
North Kellerberrin	1	38
North Kukerin	0	10
North Kukerin	1	67
North Kununoppin	1	27
North Lake	0	39
